iter	Passed	Remaining
398	411656	413719
399	413114	413114
400	414301	412235
401	416025	411885
402	417421	411206
403	418918	410623
404	420383	410003
405	421956	409485
406	423448	408883
407	424916	408253
408	426466	407698
409	427661	406799
410	428881	405924
411	429940	404895
412	431176	404031
413	432478	403228
414	433821	402461
415	434977	401517
416	436255	400685
417	437624	399933
418	438845	399045
419	440169	398248
420	441376	397344
421	442638	396486
422	443845	395579
423	445097	394708
424	446206	393712
425	447509	392883
426	448783	392029
427	450001	391122
428	451317	390299
429	452486	389348
430	453532	388291
431	454796	387418
432	456008	386501
433	457141	385515
434	458241	384501
435	459404	383539
436	460447	382476
437	461468	381396
438	462254	380123
439	463061	378868
440	464048	377762
441	465065	376682
442	466198	375694
443	467634	374950
444	468657	373873
445	469599	372731
446	470683	371702
447	471865	370751
448	472890	369675
449	473790	368503
450	474765	367390
451	475686	366236
452	476597	365075
453	477600	363986
454	478497	362816
455	479466	361703
456	480571	360691
457	481481	359534
458	482453	358423
459	483537	357397
460	484446	356241
461	485426	355138
462	486458	354074
463	487408	352950
464	488419	351872
465	489408	350777
466	490425	349703
467	491259	348500
468	492080	347289
469	493074	346200
470	494136	345161
471	495070	344032
472	496093	342965
473	496937	341775
474	497846	340631
475	498724	339467
476	499640	338330
477	500621	337238
478	501530	336098
479	502625	335083
480	503544	333951
481	504627	332928
482	505653	331867
483	506771	330867
484	507814	329817
485	508708	328671
486	509660	327564
487	510785	326567
488	511693	325433
489	512667	324340
490	513660	323260
491	514621	322161
492	515659	321110
493	516701	320061
494	517723	319001
495	518610	317857
496	519617	316788
497	520719	315777
498	521725	314708
499	522759	313655
500	523896	312664
501	524811	311541
502	525781	310451
503	526834	309410
504	528039	308458
505	529035	307384
506	529888	306227
507	530962	305198
508	532017	304159
509	533105	303138
510	533987	302000
511	534868	300863
512	535769	299738
513	536828	298702
514	537735	297581
515	538701	296494
516	539740	295448
517	540727	294372
518	541768	293327
519	542934	292349
520	543872	291248
521	544936	290215
522	545906	289132
523	546910	288067
524	547961	287027
525	548892	285925
526	549881	284853
527	551029	283863
528	552148	282858
529	553147	281792
530	554208	280757
531	555303	279739
532	556093	278568
533	557219	277566
534	558391	276586
535	559534	275591
536	560581	274549
537	561710	273546
538	562883	272565
539	563826	271471
540	564978	270479
541	565972	269411
542	566969	268344
543	567987	267288
544	568967	266214
545	569839	265090
546	570729	263975
547	571937	263007
548	573090	262014
549	574293	261042
550	575498	260070
551	576456	258987
552	577220	257818
553	578352	256813
554	579435	255786
555	580697	254838
556	581751	253798
557	582570	252656
558	583296	251474
559	584174	250360
560	585189	249305
561	586176	248238
562	587192	247184
563	588279	246159
564	589222	245074
565	590089	243959
566	591207	242947
567	592272	241913
568	593340	240881
569	594346	239824
570	595352	238766
571	596317	237693
572	597220	236595
573	598146	235507
574	598961	234376
575	599981	233326
576	600898	232236
577	602004	231219
578	602935	230135
579	603865	229052
580	604849	227989
581	605803	226915
582	606838	225873
583	608032	224888
584	608948	223801
585	610016	222770
586	610920	221679
587	611921	220624
588	613031	219608
589	613992	218539
590	615012	217491
591	615956	216417
592	617101	215413
593	618056	214342
594	619086	213298
595	620063	212236
596	621178	211221
597	622390	210238
598	623273	209145
599	624237	208079
600	625210	207016
601	626326	206001
602	627430	204981
603	628404	203919
604	629414	202869
605	630698	201906
606	631597	200820
607	632761	199819
608	633756	198764
609	634915	197760
610	636066	196753
611	637164	195730
612	638119	194662
613	639157	193621
614	640302	192611
615	641372	191578
616	642335	190514
617	643426	189488
618	644324	188404
619	645575	187425
620	646518	186355
621	647394	185267
622	648299	184187
623	649485	183188
624	650663	182185
625	651879	181193
626	652882	180141
627	653887	179090
628	654913	178044
629	655751	176948
630	656671	175875
631	657637	174815
632	658636	173763
633	659829	172762
634	660715	171681
635	661792	170650
636	662575	169544
637	663802	168551
638	664868	167517
639	665933	166483
640	667045	165460
641	668182	164443
642	669229	163404
643	670258	162360
644	671371	161337
645	672363	160284
646	673342	159229
647	674480	158211
648	675544	157175
649	676804	156185
650	677947	155167
651	679180	154169
652	680399	153168
653	681631	152168
654	682627	151116
655	683608	150060
656	684568	149000
657	685639	147964
658	686573	146899
659	687724	145880
660	688825	144851
661	689923	143820
662	691078	142802
663	691959	141726
664	692800	140643
665	693867	139606
666	694860	138555
667	695951	137523
668	696958	136474
669	698058	135444
670	698994	134381
671	699838	133302
672	700796	132245
673	701896	131215
674	702902	130167
675	703980	129132
676	704900	128069
677	706012	127040
678	707153	126017
679	707990	124939
680	709168	123922
681	710272	122891
682	711251	121839
683	712290	120797
684	713263	119744
685	714203	118686
686	715482	117684
687	716530	116644
688	717621	115611
689	718762	114585
690	719574	113507
691	720597	112463
692	721720	111434
693	722612	110370
694	723441	109296
695	724778	108300
696	725699	107241
697	726858	106217
698	727715	105149
699	728749	104107
700	729833	103072
701	730726	102010
702	731811	100975
703	732874	99937
704	733754	98874
705	734845	97840
706	735787	96786
707	736690	95728
708	737577	94667
709	738657	93632
710	739733	92596
711	740726	91550
712	741792	90513
713	742698	89456
714	743785	88422
715	744913	87392
716	746140	86373
717	747185	85333
718	748184	84287
719	749161	83240
720	750155	82194
721	751047	81138
722	752145	80103
723	753217	79067
724	754175	78018
725	755294	76985
726	756324	75944
727	757629	74930
728	758474	73870
729	759515	72830
730	760527	71787
731	761434	70734
732	762333	69681
733	763325	68636
734	764382	67598
735	765596	66573
736	766492	65521
737	767537	64481
738	768522	63436
739	769469	62389
740	770992	61388
741	772326	60370
742	773370	59329
743	774315	58281
744	775385	57243
745	776282	56192
746	777246	55146
747	778314	54107
748	779221	53057
749	780170	52011
750	781212	50971
751	782436	49942
752	783515	48904
753	784487	47859
754	785541	46820
755	786629	45782
756	787591	44737
757	788519	43691
758	789361	42640
759	790491	41604
760	791357	40555
761	792433	39517
762	793430	38475
763	794504	37437
764	795672	36403
765	796574	35357
766	797704	34321
767	798778	33282
768	799886	32245
769	800908	31204
770	801758	30156
771	802857	29119
772	803922	28080
773	804971	27040
774	806028	26000
775	806982	24958
776	807867	23913
777	808861	22872
778	809967	21834
779	811019	20795
780	812239	19759
781	813064	18715
782	814273	17679
783	815314	16639
784	816508	15602
785	817587	14562
786	818724	13524
787	820030	12487
788	821207	11449
789	822303	10408
790	823402	9368
791	824321	8326
792	825183	7284
793	826201	6243
794	827175	5202
795	828081	4161
796	828967	3120
797	829996	2080
798	831068	1040
799	832105	0
