iter	RMSE
249	0.6931809761
250	0.6925413009
251	0.6923095912
252	0.6917184617
253	0.6914719717
254	0.6911376991
255	0.690852751
256	0.6903873342
257	0.6903856687
258	0.6900975154
259	0.6898430063
260	0.6896889777
261	0.6895045903
262	0.6881985785
263	0.6879098375
264	0.687779126
265	0.6877304486
266	0.6873035852
267	0.687292583
268	0.6870504252
269	0.6868550431
270	0.6855312605
271	0.6853050941
272	0.6852100325
273	0.6850273493
274	0.6848659365
275	0.6845319956
276	0.6844248051
277	0.6843651328
278	0.6842280985
279	0.6841474198
280	0.6838076479
281	0.6831460622
282	0.6825803337
283	0.6825514301
284	0.6821024466
285	0.6818805235
286	0.6818535398
287	0.6804252367
288	0.6801320763
289	0.6801192326
290	0.6796117424
291	0.6795960831
292	0.6793975525
293	0.6790683878
294	0.6785659813
295	0.6779588443
296	0.6778991471
297	0.6777603774
298	0.6777438765
299	0.6772795196
300	0.6765499148
301	0.6751269952
302	0.674660742
303	0.6745546729
304	0.6742175714
305	0.673372017
306	0.6732038792
307	0.6731904357
308	0.6729195094
309	0.6725686083
310	0.6721632586
311	0.671972666
312	0.6712127209
313	0.6711826653
314	0.6710962085
315	0.6707213334
316	0.6703187085
317	0.6700984655
318	0.6695603501
319	0.6694671155
320	0.6690758668
321	0.6687720053
322	0.6687672508
323	0.66832846
324	0.6681936842
325	0.6681215591
326	0.6676851164
327	0.6676390585
328	0.6673671013
329	0.6667171184
330	0.6665100047
331	0.6662568264
332	0.6658206711
333	0.6655823788
334	0.6653331845
335	0.6652234765
336	0.6651534864
337	0.6648642929
338	0.6647265611
339	0.6639358475
340	0.6637688377
341	0.6635675799
342	0.6632520172
343	0.6630935422
344	0.6625275819
345	0.662124971
346	0.6618591814
347	0.6618262358
348	0.6617863705
349	0.6615066848
350	0.6610750218
351	0.6608993138
352	0.6606509329
353	0.6599555608
354	0.6598521645
355	0.6596782294
356	0.6595442674
357	0.6591756185
358	0.6591269452
359	0.65893923
360	0.6586384723
361	0.6585400688
362	0.6585017798
363	0.6580258295
364	0.6577774719
365	0.6574510386
366	0.6569482189
367	0.6566170186
368	0.6564760049
369	0.6562204055
370	0.6560361431
371	0.65600754
372	0.655727165
373	0.6550479531
374	0.6545993349
375	0.6542791994
376	0.653925847
377	0.6535008632
378	0.653034003
379	0.6521459602
380	0.6517353993
381	0.6517321674
382	0.6515916867
383	0.651216297
384	0.6507003169
385	0.6504815357
386	0.6502320592
387	0.6499307854
388	0.6496500277
389	0.6492987533
390	0.6492950679
391	0.6488965468
392	0.6486985332
393	0.6483153452
394	0.6481360994
395	0.6479200272
396	0.647676446
397	0.6474386793
398	0.6469520343
399	0.6466666935
400	0.646580761
401	0.6461626323
402	0.6461574763
403	0.645857566
404	0.6457282373
405	0.6455092531
406	0.6450582386
407	0.6448536193
408	0.6445165603
409	0.6444148724
410	0.644008627
411	0.6439660651
412	0.6438402076
413	0.6437548269
414	0.6433680107
415	0.6433310924
416	0.6432768446
417	0.6427214568
418	0.6424894378
419	0.6422399241
420	0.6422276691
421	0.6419914497
422	0.6419452439
423	0.6418432783
424	0.6415981632
425	0.6413125012
426	0.640840873
427	0.6405994554
428	0.6403447326
429	0.6401944557
430	0.6398796216
431	0.6397061741
432	0.6396839497
433	0.6394745258
434	0.6393800453
435	0.6390725203
436	0.6389019824
437	0.6386323675
438	0.6386295996
439	0.6385575341
440	0.6385017254
441	0.6384917851
442	0.6383849314
443	0.63791526
444	0.637468908
445	0.6370667597
446	0.6365947826
447	0.6363024071
448	0.6362677889
449	0.6360120185
450	0.6359128775
451	0.6357043754
452	0.6356610253
453	0.6354638108
454	0.6351378046
455	0.6347619791
456	0.6346074971
457	0.63441345
458	0.6338426632
459	0.6335324307
460	0.6334988229
461	0.6334239205
462	0.633214212
463	0.6328168102
464	0.6319913006
465	0.6319617328
466	0.6315613703
467	0.6314586856
468	0.6314381181
469	0.6313832153
470	0.631131036
471	0.6310467054
472	0.6307302985
473	0.6305688318
474	0.6304756447
475	0.630114069
476	0.6301098436
477	0.6301079213
478	0.6297176003
479	0.6295211699
480	0.6294155018
481	0.629268531
482	0.6292111327
483	0.6288418618
484	0.6284986709
485	0.6282583741
486	0.6280327932
487	0.6276085144
488	0.6273179431
489	0.6270084539
490	0.6267706547
491	0.6262907371
492	0.6260071582
493	0.6256981586
494	0.6251928557
495	0.6251544146
496	0.6246691295
497	0.6244933742
498	0.6243034722
499	0.6240937703
500	0.6237093759
501	0.6235304285
502	0.6235193098
503	0.6233540677
504	0.6230829388
505	0.6230190764
506	0.6228576687
507	0.6224196408
508	0.6222964158
509	0.6220042783
510	0.6219675277
511	0.6217030406
512	0.6216061043
513	0.6212680609
514	0.6210862449
515	0.6210489302
516	0.6206940089
517	0.6203364053
518	0.6201439193
519	0.6199202769
520	0.6198131283
521	0.6194212924
522	0.6189422569
523	0.6185711902
524	0.6185055983
525	0.6184858494
526	0.6182818918
527	0.6180460359
528	0.6178011642
529	0.6173253782
530	0.6169234771
531	0.6165787621
532	0.6165321505
533	0.6159806197
534	0.615758367
535	0.6153410775
536	0.6151045241
537	0.6147068425
538	0.6144383337
539	0.6144152827
540	0.6140190635
541	0.6136441515
542	0.6134525417
543	0.6128820511
544	0.6125334583
545	0.612503301
546	0.6124646235
547	0.6121961133
548	0.6118324158
549	0.6116130822
550	0.6113702149
551	0.6112437374
552	0.6110577349
553	0.610797464
554	0.6103870765
555	0.6100050536
556	0.6098396206
557	0.6097041181
558	0.6095082802
559	0.6091467532
560	0.6091365347
561	0.6090769163
562	0.6089861488
563	0.608981774
564	0.60847446
565	0.60839976
566	0.6079719098
567	0.6075287541
568	0.6070625207
569	0.6069450269
570	0.6067767407
571	0.6062005781
572	0.6061310381
573	0.6057889879
574	0.6056829348
575	0.6056798535
576	0.6056184111
577	0.6055237012
578	0.6052581392
579	0.6051161269
580	0.6050881613
581	0.6049211834
582	0.6048762996
583	0.6043456916
584	0.603927573
585	0.6036122664
586	0.603442886
587	0.603430163
588	0.6032499267
589	0.6029778517
590	0.6026552001
591	0.6024590724
592	0.6023014322
593	0.6022806048
594	0.6018042824
595	0.6016123259
596	0.601438587
597	0.601013318
598	0.6009134701
599	0.6008030875
600	0.6004658669
601	0.600182343
602	0.6001511615
603	0.5998473407
604	0.5997629915
605	0.5995130866
606	0.5992144822
607	0.5987030451
608	0.5985117341
609	0.5984566279
610	0.5982393423
611	0.5980958028
612	0.5980857969
613	0.5977112355
614	0.5975279994
615	0.5973334314
616	0.5971246896
617	0.5970037924
618	0.5969185711
619	0.5965869786
620	0.5965116381
621	0.596364042
622	0.5959776775
623	0.5957332184
624	0.5955933566
625	0.5951472924
626	0.5951329671
627	0.5951140108
628	0.5948875349
629	0.5948264434
630	0.5946934296
631	0.5941967973
632	0.5939064502
633	0.5935126438
634	0.5934258057
635	0.5933969533
636	0.5932291938
637	0.592987932
638	0.592618004
639	0.592458953
640	0.592147596
641	0.5919964649
642	0.591920061
643	0.5917053772
644	0.5911872641
645	0.5910649672
646	0.5907237341
647	0.5901847074
648	0.5899408677
649	0.5897264927
650	0.5897056743
651	0.5892751687
652	0.5887633178
653	0.5885163135
654	0.5885004854
655	0.5883083571
656	0.5880463551
657	0.5876641742
658	0.5871858278
659	0.586918442
660	0.5868975354
661	0.5868723555
662	0.5866590695
663	0.5866217988
664	0.5863487238
665	0.5860540141
666	0.5857415574
667	0.585444524
668	0.5852213858
669	0.5850004682
670	0.5846916176
671	0.5845655823
672	0.5843380005
673	0.5836548972
674	0.5833940321
675	0.5831384655
676	0.5830552167
677	0.582645115
678	0.5823476551
679	0.5819975771
680	0.5816696069
681	0.5816600462
682	0.5815646228
683	0.5812947695
684	0.5811645072
685	0.5808635692
686	0.5805603686
687	0.5802592538
688	0.5798453449
689	0.5794745299
690	0.5793333808
691	0.5790700576
692	0.5787693381
693	0.5786512834
694	0.5785104701
695	0.5783599264
696	0.5783455414
697	0.5782149638
698	0.5781605172
699	0.5779674026
700	0.5775425179
701	0.5774764614
702	0.5771247488
703	0.5769394154
704	0.5769208283
705	0.5764543779
706	0.5764151544
707	0.5764012614
708	0.5760516434
709	0.57565888
710	0.5753927371
711	0.5752964887
712	0.5748429847
713	0.5746456667
714	0.5745160941
715	0.5741499301
716	0.5737794582
717	0.5734149785
718	0.5732895813
719	0.5730179009
720	0.572949767
721	0.5725123633
722	0.5720987073
723	0.5719831007
724	0.5717503085
725	0.5716361421
726	0.5713195702
727	0.5710111769
728	0.5709664821
729	0.5707890088
730	0.5703191859
731	0.5699275891
732	0.5698348883
733	0.5696165374
734	0.5693891937
735	0.5688234087
736	0.5686073705
737	0.5683327873
738	0.5680610385
739	0.5680528087
740	0.5677162562
741	0.5673842951
742	0.5673390183
743	0.5670467538
744	0.5667087193
745	0.5665644249
746	0.5665385308
747	0.5664888429
748	0.5662777557
749	0.5660905713
750	0.5660662517
751	0.5657653614
752	0.5656328909
753	0.565437989
754	0.565362565
755	0.565149339
756	0.5650181153
757	0.5649700293
758	0.5649628851
759	0.5648746251
760	0.5643505567
761	0.5641607552
762	0.5641562274
763	0.564106506
764	0.5637831463
765	0.5637461918
766	0.5634061105
767	0.5632343301
768	0.562836261
769	0.5627564744
770	0.5625685591
771	0.5622338573
772	0.5619672222
773	0.5618976636
774	0.5616222664
775	0.5615912166
776	0.5614068081
777	0.5612987646
778	0.5609358504
779	0.5608293451
780	0.5605086631
781	0.5603412305
782	0.5598931289
783	0.5597435639
784	0.559517587
785	0.5594244949
786	0.5591458153
787	0.5585915627
788	0.5585360332
789	0.5582741258
790	0.5582298156
791	0.5582241906
792	0.5581825963
793	0.5581285519
794	0.5578758028
795	0.5577033495
796	0.5576706767
797	0.5576223783
798	0.5575322313
799	0.5574842617
